label,smile_w,smile_h,brow_h,eye_h,brow_i,mouth_drop,brow_v_left,brow_v_right,lip_dist,jaw_dist
happy,0.5447285911916208,0.16943019582327642,0.2014356339942863,0.05083294018695543,0.20357738317685078,0.3140420241744569,0.24247519492047825,0.2447110664271031,0.16943019582327642,1.6927131523505508
angry,0.3896425569552957,0.0009721656418210532,0.17506428462642845,0.08208802907659088,0.20090347636488506,0.2732140195364474,0.19959064539539215,0.1967391996588725,0.0009721656418210532,1.654609135961237
happy,0.47102171107480356,0.0022759201439437634,0.22303608725465393,0.059703207522605196,0.208266217745597,0.2754718803788345,0.2564722969559005,0.2624722421956656,0.0022759201439437634,1.675427771400279
neutral,0.4097635788460776,0.0008631241797347246,0.2530397638376514,0.07374394741153828,0.19874416073574683,0.2940551280056481,0.2870623399467939,0.2861525011492803,0.0008631241797347246,1.6684044124653263
sad,0.43313451640597883,0.004223948653591877,0.22318556500955777,0.07538743687533578,0.20636215783034512,0.2990237977249204,0.24729353476024005,0.25995125402629443,0.004223948653591877,1.6931351955244511
happy,0.5261879253272493,0.13826527508330036,0.19452771145782943,0.06558478022552798,0.2012816917980111,0.2905482764669586,0.22961863622470535,0.23576596747990647,0.13826527508330036,1.6926578723142796
angry,0.386820852096778,0.0011907952919244758,0.1844850298341241,0.07993311074660868,0.200449184198838,0.26430717021187494,0.2118836166950212,0.21989365285888404,0.0011907952919244758,1.6626742275905628
sad,0.4214493489187318,0.10428604189891764,0.21132826421585502,0.05054871177611208,0.2031072456848565,0.31790446142585094,0.2670793851585905,0.2769001624242965,0.10428604189891764,1.7132369234968154
happy,0.475650873459317,0.006262075920260487,0.20718472180128922,0.06443139195158307,0.20935630453963044,0.2641123050506977,0.23640291330415003,0.2391876675638845,0.006262075920260487,1.6786771673355438
angry,0.3988566112483828,0.0028719512238856012,0.17673189361843042,0.07486313042875332,0.20414514178140783,0.2617421667410328,0.20006888619722868,0.2119217448199797,0.0028719512238856012,1.6525187168525741
happy,0.51630807375697,0.16055634552347764,0.20365054856780507,0.05843423677506841,0.2042984658633678,0.26887259044011463,0.23331136227105065,0.2445536957231048,0.16055634552347764,1.6946351335859975
